Nr,Group,Position,Locus,K*,Df,Signif.,Nr inf.,Meanrank-ac,Mean-ac,Nr-ac,Meanrank-ad,Mean-ad,Nr-ad,Meanrank-bc,Mean-bc,Nr-bc,Meanrank-bd,Mean-bd,Nr-bd,Meanrank-ee,Mean-ee,Nr-ee,Meanrank-ef,Mean-ef,Nr-ef,Meanrank-eg,Mean-eg,Nr-eg,Meanrank-fg,Mean-fg,Nr-fg,Meanrank-hh,Mean-hh,Nr-hh,Meanrank-hk,Mean-hk,Nr-hk,Meanrank-kk,Mean-kk,Nr-kk,Meanrank-h-,Mean-h-,Nr-h-,Meanrank-k-,Mean-k-,Nr-k-,Meanrank-ll,Mean-ll,Nr-ll,Meanrank-lm,Mean-lm,Nr-lm,Meanrank-nn,Mean-nn,Nr-nn,Meanrank-np,Mean-np,Nr-np
348,LG2,42.383,S2_7454846,0.909,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.763636,22,28.1,0.829032,31,,,0,,,0
349,LG2,44.022,HY_sc2_6910857,0.3,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.824242,33,26,0.765,20,,,0,,,0
350,LG2,44.582,S21_12226713,0.064,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.8,33,27.4,0.805,20,,,0,,,0
351,LG2,45.191,HY_sc2_6951911,0,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27,0.805714,35,27,0.794444,18,,,0,,,0
352,LG2,45.191,HY_sc2_6951914,0,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27,0.805714,35,27,0.794444,18,,,0,,,0
353,LG2,54.088,S27_14308418,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.9,0.827273,22,25.6,0.783871,31,,,0,,,0
354,LG2,54.088,S2_11257902,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.783871,31,28.9,0.827273,22,,,0,,,0
355,LG2,54.088,HY_sc30_94737432,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.783871,31,28.9,0.827273,22,,,0,,,0
356,LG2,54.088,S2_10990721,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.783871,31,28.9,0.827273,22,,,0,,,0
357,LG2,54.57,S5_3051298,1.09,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.7875,32,28.8,0.82381,21,,,0,,,0
358,LG2,54.57,HY_sc2_7691717,1.09,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.7875,32,28.8,0.82381,21,,,0,,,0
359,LG2,54.687,HY_sc30_47721143,1.298,1,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.7,0.78,30,27.9,0.82381,21,,,0,,,0
360,LG2,55.088,HY_sc2_7768544,0.944,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.7875,32,28.2,0.82,20,,,0,,,0
361,LG2,55.732,HY_sc2_7461945,0.725,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.790909,33,28.1,0.815789,19,,,0,,,0
362,LG2,56.558,HY_sc30_113554006,0.978,1,-      ,49,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.815789,19,23.9,0.78,30,,,0,,,0
363,LG2,57.252,HY_sc30_75449053,1.632,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.830435,23,25.4,0.78,30,,,0,,,0
364,LG2,57.252,S3_16650255,1.632,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.830435,23,25.4,0.78,30,,,0,,,0
365,LG2,58.779,S4_637439,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.783871,31,28.9,0.827273,22,,,0,,,0
366,LG2,60.233,S26_5227972,1.09,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.7875,32,28.8,0.82381,21,,,0,,,0
367,LG2,60.233,S2_12733571,1.09,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.8,0.82381,21,25.8,0.7875,32,,,0,,,0
368,LG2,62.487,HY_sc30_104641532,0.476,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.3,0.797143,35,28.3,0.811111,18,,,0,,,0
369,LG2,64.002,S13_10020430,1.09,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.7875,32,28.8,0.82381,21,,,0,,,0
370,LG2,66.51,HY_sc2_12192704,1.347,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.6,0.783871,31,28.9,0.827273,22,,,0,,,0
371,LG2,71.135,S3_16615705,1.833,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.834483,29,24.9,0.7625,24,,,0,,,0
372,LG2,71.135,HY_sc30_75412602,1.833,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.834483,29,24.9,0.7625,24,,,0,,,0
373,LG2,87.881,S2_15622610,1.632,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.78,30,29,0.830435,23,,,0,,,0
374,LG2,87.881,HY_sc2_14540495,1.632,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.78,30,29,0.830435,23,,,0,,,0
375,LG2,87.922,HY_sc2_14577768,1.464,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.1,0.78,30,28.5,0.827273,22,,,0,,,0
376,LG18b,0,ab18_4585109,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0,,,0,,,0,,,0,,,0,,,0
377,LG18b,8.611,HY_sc18_11969900,5.284,1,**     ,49,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.863333,30,21.2,0.7,19,,,0,,,0
378,LG18b,12.143,HY_sc30_102610139,0.847,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.764286,28,27.9,0.841667,24,,,0,,,0
379,LG18b,13.817,HY_sc30_123475114,0.313,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.2,0.822222,18,27.7,0.83,20,25.8,0.74,15,,,0,,,0,,,0,,,0,,,0,,,0
380,LG18b,16.454,S18_13217994,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
381,LG18b,16.454,S18_13217948,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
382,LG18b,16.454,S18_13218040,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
383,LG18b,16.454,S18_13217991,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
384,LG18b,16.454,S18_13217999,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
385,LG18b,16.454,S18_13217935,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.784615,26,27.6,0.818519,27,,,0,,,0
386,LG18b,18.946,HY_sc18_5759062,0.521,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.4,0.835294,17,26.1,0.795833,24,26.8,0.766667,12,,,0,,,0,,,0,,,0,,,0,,,0
387,LG18b,20.071,HY_sc18_9557566,2.182,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.9,0.851724,29,24.8,0.741667,24,,,0,,,0
388,LG18b,20.09,HY_sc18_12890598,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
389,LG18b,20.09,ab18_10895344,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
390,LG18b,20.09,S18_10895343,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
391,LG18b,20.09,HY_sc18_12751280,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0
392,LG18b,20.697,HY_sc30_105211846,1.113,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.806667,15,28.4,0.844,25,24.9,0.715385,13,,,0,,,0,,,0,,,0,,,0,,,0
393,LG18b,21.539,HY_sc18_11639667,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.748,25,28.8,0.85,28,,,0,,,0
394,LG18b,21.539,S18_5582645,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.748,25,28.8,0.85,28,,,0,,,0
395,LG18b,21.539,S18_7967592,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.748,25,28.8,0.85,28,,,0,,,0
396,LG18b,21.539,HY_sc18_9577703,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.8,0.85,28,25,0.748,25,,,0,,,0
397,LG18b,22.188,HY_sc18_9684385,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
398,LG18b,22.712,S18_2784256,1.217,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.5,0.82963,27,25.4,0.773077,26,,,0,,,0,,,0,,,0,,,0,,,0,,,0
399,LG18b,23.598,HY_sc18_13468274,2.182,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.8,0.741667,24,28.9,0.851724,29,,,0,,,0
400,LG18b,23.598,S18_4944608,2.182,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.9,0.851724,29,24.8,0.741667,24,,,0,,,0
401,LG18b,23.598,S18_4944567,2.182,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.8,0.741667,24,28.9,0.851724,29,,,0,,,0
402,LG18b,25.7,S18_12238520,3.031,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.854839,31,24.1,0.727273,22,,,0,,,0
403,LG18b,27.913,HY_sc30_159529792,3.031,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.854839,31,24.1,0.727273,22,,,0,,,0
404,LG18b,31.959,S18_4280525,0.027,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.2,0.803226,31,26.7,0.8,22,,,0,,,0
405,LG18b,32.268,HY_sc30_73060054,1.791,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.5,0.85,12,25.3,0.753846,26,29.6,0.846667,15,,,0,,,0,,,0,,,0,,,0,,,0
406,LG18b,33.923,HY_sc18_14634924,0.03,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.3,0.8,33,26.8,0.8,19,,,0,,,0
407,LG18b,35.03,HY_sc18_13638067,1.595,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.1,0.845455,11,25.5,0.759259,27,29.6,0.846667,15,,,0,,,0,,,0,,,0,,,0,,,0
408,LG18b,36.922,HY_sc30_90669741,0.058,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.8,0.803226,31,26.1,0.795238,21,,,0,,,0
409,LG18b,37.604,S18_2706634,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
410,LG18b,37.604,S18_3360844,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
411,LG18b,37.604,HY_sc18_14026458,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
412,LG18b,37.604,S18_2819732,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
413,LG18b,38.373,S18_3668667,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
414,LG18b,38.893,S18_3758523,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.804348,23,27.1,0.8,30,,,0,,,0
415,LG18b,41.433,S18_2466323,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.792857,28,27.3,0.812,25,,,0,,,0
416,LG18b,42.204,HY_sc30_90785925,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.812,25,26.7,0.792857,28,,,0,,,0
417,LG18b,43.263,HY_sc30_90669610,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.5,0.803846,26,27.4,0.8,27,,,0,,,0
418,LG18b,45.162,HY_sc18_13724240,0.738,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.9,0.782143,28,28.3,0.824,25,,,0,,,0
419,LG9,0,S9_6457310,0.33,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.1,0.795833,24,27.7,0.806897,29,,,0,,,0,,,0,,,0,,,0,,,0,,,0
420,LG9,0.249,HY_sc9_552948,0.174,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.5,0.821875,32,26.3,0.771429,21,,,0,,,0
421,LG9,11.937,HY_sc9_1847832,0.597,1,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.2,0.790909,33,27.4,0.811111,18,,,0,,,0
422,LG9,15.336,HY_sc30_81882547,0.367,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.9,0.815152,33,27.6,0.815789,19,,,0,,,0
423,LG9,19.78,HY_sc9_3878228,0.271,2,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.793333,15,25.6,0.784211,19,26.8,0.822222,18,,,0,,,0,,,0,,,0,,,0,,,0
424,LG9,21.743,S16_22167845,0.007,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.810714,28,27.1,0.792,25,,,0,,,0
425,LG9,25.069,S15_4085083,0.33,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.7,0.806897,29,26.1,0.795833,24,,,0,,,0
426,LG9,26.293,S9_6169829,0.203,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.803571,28,26.3,0.8,25,,,0,,,0
427,LG9,26.393,HY_sc9_2383662,1.202,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23.9,0.76,10,27.7,0.806897,29,27.8,0.821429,14,,,0,,,0,,,0,,,0,,,0,,,0
428,LG9,27.902,S9_3386573,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.8,27,26.5,0.803846,26,,,0,,,0
429,LG9,27.902,S9_5465094,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.5,0.803846,26,27.4,0.8,27,,,0,,,0
430,LG9,27.902,S9_5292912,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.8,27,26.5,0.803846,26,,,0,,,0
431,LG9,28.613,HY_sc9_505266,0.583,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.1,0.783333,12,27.3,0.796154,26,28,0.826667,15,,,0,,,0,,,0,,,0,,,0,,,0
432,LG9,28.726,HY_sc30_130933060,0.203,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.803571,28,26.3,0.8,25,,,0,,,0
433,LG9,31.284,ab9_2101137,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.5,0.803846,26,27.4,0.8,27,,,0,,,0
434,LG9,31.284,S9_2101129,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.5,0.803846,26,27.4,0.8,27,,,0,,,0
435,LG9,32.145,HY_sc30_46365468,2.695,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.1,0.833333,12,24.9,0.753571,28,29.7,0.876923,13,,,0,,,0,,,0,,,0,,,0,,,0
436,LG9,32.798,HY_sc30_46448596,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.807407,27,27.3,0.796154,26,,,0,,,0
437,LG9,37.836,S9_1737086,1.632,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.78,30,29,0.830435,23,,,0,,,0
438,LG9,38.117,S9_3628634,0.536,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.1,0.783333,12,27.5,0.807317,41,,,0,,,0,,,0,,,0,,,0,,,0,,,0
439,LG9,43.762,HY_sc9_763178,0.002,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.5,0.802941,34,26.6,0.794444,18,,,0,,,0
440,LG9,46.773,HY_sc30_95304782,0.002,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.1,0.828571,28,26.9,0.772,25,,,0,,,0
441,LG9,51.182,HY_sc30_96440908,0.015,1,-      ,48,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.3,0.816667,24,24.7,0.766667,24,,,0,,,0
442,LG9,53.528,HY_sc9_6361706,0.057,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.8,0.831034,29,26.1,0.76087,23,,,0,,,0
443,LG9,62.384,HY_sc30_152249837,0.021,1,-      ,39,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,19.9,0.775,24,20.2,0.806667,15,,,0,,,0
444,LG9,74.621,S9_12557421,0.087,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.793939,33,26.5,0.815,20,,,0,,,0
445,LG9,74.621,HY_sc9_7565525,0.087,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.793939,33,26.5,0.815,20,,,0,,,0
446,LG9,74.621,HY_sc9_7484409,0.087,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.793939,33,26.5,0.815,20,,,0,,,0
447,LG9,74.95,S9_12647327,0.028,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.2,0.790625,32,26.7,0.819048,21,,,0,,,0
448,LG9,75.766,ab9_12480607,0.181,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.797059,34,26.2,0.810526,19,,,0,,,0
449,LG9,75.766,S9_12480605,0.181,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.797059,34,26.2,0.810526,19,,,0,,,0
450,LG9,76.508,HY_sc9_7656416,0.087,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.793939,33,26.5,0.815,20,,,0,,,0
451,LG9,79.898,S9_13427649,0.017,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.2,0.822222,18,26.9,0.791429,35,,,0,,,0
452,LG9,79.898,HY_sc9_8493662,0.017,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.791429,35,27.2,0.822222,18,,,0,,,0
453,LG9,81.712,S9_13780857,0,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27,0.794444,36,27,0.817647,17,,,0,,,0
454,LG9,83.684,S9_14363780,0.018,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.8125,16,27.1,0.797297,37,,,0,,,0
455,LG9,89.023,S9_14858796,0.507,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.775676,37,28.5,0.8625,16,,,0,,,0
456,LG9,91.819,S9_15306075,0.144,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.6,0.784848,33,27.7,0.83,20,,,0,,,0
457,LG9,91.819,HY_sc9_10433455,0.144,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.6,0.784848,33,27.7,0.83,20,,,0,,,0
458,LG9,97.213,HY_sc9_11523780,0.878,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26,0.779412,34,28.7,0.842105,19,,,0,,,0
459,LG9,97.213,S9_15502359,0.878,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26,0.779412,34,28.7,0.842105,19,,,0,,,0
460,LG9,108.495,HY_sc9_9944894,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0
461,LG8,0,HY_sc8_19917099,2.678,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.4,0.856,25,24.9,0.753571,28,,,0,,,0
462,LG8,6.758,ab15_9380570,2.278,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.5,0.774286,35,29.9,0.855556,18,,,0,,,0
463,LG8,8.7,S15_9380941,2.619,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.770588,34,30,0.857895,19,,,0,,,0
464,LG8,10.275,S15_7732561,1.665,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.781081,37,29.7,0.85,16,,,0,,,0
465,LG8,11.827,S8_1890465,2.984,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,30.1,0.86,20,25.1,0.766667,33,,,0,,,0
466,LG8,13.07,HY_sc8_20152064,2.619,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.770588,34,30,0.857895,19,,,0,,,0
467,LG8,13.07,S8_2118531,2.619,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.770588,34,30,0.857895,19,,,0,,,0
